id,name,start_date,end_date,budget,hashtags,team_id,description
1,Sneak Sneakers,2020-01-01 12:00:00,2020-01-08 12:00:00,5000.00,#sneak #sneakers,5,We want some awesome content of our new sneakers
2,Glow Foundation,2020-01-01 12:00:00,2020-01-14 12:00:00,4000.00,#glow #foundation,5,Be creative and do some tutorials for our new foundation
3,Tiny Tshirts,2020-01-02 12:00:00,2020-02-01 12:00:00,2000.00,#tinytshirts,5,Bring your whole self to the shoot for original content
4,Apple Baby Food,2020-01-01 12:00:00,2020-03-10 12:00:00,8000.00,#applebabyfood #baby,6,We are looking for familys with babies less than 12 months to showcase our great new babyfood!
5,Clean It Mops,2020-01-01 12:00:00,2020-01-01 12:00:00,2000.00,#cleanit #mops,6,Requirements are 2 posts on Instagram using the mop for cleaning
6,Sleep Tight Sheets,2020-01-01 12:00:00,2020-01-30 12:00:00,10000.00,#sleeptight #sheets,5,Some luxury shots of beautiful interiors highlighting our new sheet range
7,Office Chairs,2019-01-01 12:00:00,2019-04-01 10:00:00,8000.00,#office #chairs,6,New home office anyone?
8,Summer Sushi,2019-01-01 12:00:00,2019-04-01 10:00:00,1000.00,#summer #sushi,5,Pictures of the whole family enjoying sushi at our nearest branch
9,Illuminate Lights,2019-10-05 12:00:00,2019-11-04 10:00:00,7000.00,#illuminate #lights #fixtures,5,Illuminate your feed with our new desk lamps
10,Sure Stationary,2019-05-07 12:00:00,2019-06-02 10:00:00,4000.00,#sure #stationary #love,5,Show how you can get really creative and make beautiful images using our new stationary range
11,Maccas Burger,2020-01-01 12:00:00,2020-01-08 12:00:00,5000.00,#maccas #burger,7,Are you feeling hungrey for our new vegie burgers?
12,Coffee Cafe,2020-01-01 12:00:00,2020-01-14 12:00:00,4000.00,#coffee #cafe #coffewecafe,6,Showcase connecting with friends over a coffer at our new cafe
13,Bob's Burgers,2020-01-02 12:00:00,2020-02-01 12:00:00,2000.00,#bobsburgers #burgers,6,Show how enticing our new burgers are by featuring them in you stories
14,New Movie,2020-01-01 12:00:00,2020-03-10 12:00:00,8000.00,#newmovie #incinemasnow,7,Join us for the premier of New Movie and share the experience with your friends
15,Cathy Clothes,2020-01-01 12:00:00,2020-01-01 12:00:00,2000.00,#cathy #clothes #newseason,6,Time for a change and a new wardrobe - we would like 2 in store photos
16,Bay Hotel,2020-01-01 12:00:00,2020-01-30 12:00:00,10000.00,#bayhotel #hotel #waterfront,7,Enjoying a meal at our outdoor venue
17,Midnight Bar,2019-01-01 12:00:00,2019-04-01 10:00:00,8000.00,#midnightbar,7,Promote our new alcohol-free happy hour event
18,Kitchen Clean,2019-01-01 12:00:00,2019-04-01 10:00:00,1000.00,#kitchen #clean,6,Show us shots of your sparkling kitchen with our new cleaning products in the foreground
19,Flossy's Flowers,2019-10-05 12:00:00,2019-11-04 10:00:00,7000.00,#flossysflowers #flowers #spring,6,We would like great content making an event extra special by bringing some flowers to the occasion
20,Backyard Pots,2019-05-07 12:00:00,2019-06-02 10:00:00,4000.00,#backyard #pots,7,Bring the flowers inside and feature our new potted plants on your feed
